一;one;ichi, itsu;hito-tsu
楽;pleasure;raku;tano-shii
公;public;kou;ōyake
引;pull;in;hi-ku
科;section;ka;
歌;song;ka;uta
刀;sword;tou;katana
番;number;ban;
用;use;you;mochi-iru
何;what;ka;nani, nan
丁;town section; measure word;chō;hinoto
世;generation;sei or se;yo
両;both;ryō;teru, futatsu
主;master, main;shu;nushi or omo
乗;ride;jō;no-ru
予;beforehand;yo;arakaji-me
事;abstract thing;ji;koto
仕;serve;shi;tsuka-eru
他;other;ta;hoka
代;substitute;dai or tai;ka-waru or yo
住;dwell;jū;su-mu
使;use;shi;tsuka-u
係;leader;kei;kakari or kaka-ru
倍;double;bai
全;whole;zen;matta-ku
具;tool;gu;sona-eru or tsubusa-ni
写;copy;sha;utsu-su
列;row;retsu
助;help;jo;tasu-keru
勉;diligence;ben;tsuto-meru
動;move;dō;ugo-ku
勝;win;shō;ka-tsu
化;change;ka;ba-keru
区;ward;ku
医;doctor;i;iya-su or i-suru
去;leave;kyo or ko;sa-ru
反;anti-;han;so-ru
取;take;shu;to-ru
受;receive;ju;u-keru
号;number;gō;yobina or sake-bu
向;confront;kō;mu-kau
君;you; monarch;kun;kimi
味;flavor;mi;aji or aji-wau
命;fate, life;mei;inochi
和;harmony; Japanese;wa;yawa-ragu or nago-yaka
品;article;hin;shina
員;employee;in
商;commerce;shō
問;question;mon;to-u or ton
坂;slope;han;saka
央;center;ō
始;begin;shi;haji-meru
委;committee;i;yuda-neru
守;protect;shu;mamo-ru
安;cheap;an;yasu-i
定;fix;tei or jō;sada-meru
実;fruit; reality;jitsu;mi or mino-ru
客;guest;kyaku
宮;Shinto shrine or prince (princess);kyū;miya
宿;inn;shuku;yado or yado-ru
寒;cold;kan;samu-i
対;opposite, against;tai;aite or soro-i
局;office;kyoku;tsubone
屋;roof;oku;ya
岸;shore;gan;kishi
島;island;tō;shima
州;state;shū;su
帳;ledger;chō;tobari
平;flat;hei or byō;tai-ra or hira
幸;happiness;kō;saiwa-i or shiawa-se
度;degree;do;tabi
庫;warehouse;ko or ku;kura
庭;yard;tei;niwa
式;style; ceremony; numerical formula;shiki
役;role;yaku
待;wait;tai;ma-tsu
急;hurry;kyū;iso-gu
息;breath;soku;iki
悪;bad;aku;waru-i
悲;sad;hi;kana-shii
想;thought;sō
意;idea;i
感;feel;kan
所;place;sho;tokoro
打;hit;da;u-tsu
投;throw;tō;na-geru
拾;pick up;	hiro-u
持;hold;ji;mo-tsu
指;finger;shi;yubi or sa-su
放;release;hō;hana-su
整;organize;sei;totono-eru
旅;trip;ryo;tabi
族;tribe;zoku
昔;long ago;seki or shaku;mukashi
昭;shine;shō
暑;hot;sho;atsu-i
暗;dark;an;kura-i
曲;melody; curve;kyoku;ma-garu
有;possess;yū;a-ru
服;clothes;fuku
期;period of time;ki
板;board;han or ban;ita
柱;pillar;chū;hashira
根;root;kon;ne
植;plant;shoku;u-eru
業;business;gyō
様;appearance;yō;sama
横;horizontal;ō;yoko
橋;bridge;kyō;hashi
次;next;ji;tsugi or tsu-gu
歯;tooth;shi;ha
死;death;shi;shi-nu
氷;ice;hyō;kōri
決;decide;ketsu;ki-meru
油;oil;yu;abura
波;wave;ha;nami
注;pour;chū;soso-gu
泳;swim;ei;oyo-gu
洋;ocean;yō
流;stream;ryū;naga-reru
消;extinguish;shō;ki-eru or ke-su
深;deep;shin;fuka-i
温;warm;on;atata-kai
港;harbor;kō;minato
湖;lake;ko;mizūmi
湯;hot water;tō;yu
漢;China;kan
炭;charcoal;tan;sumi
物;thing;butsu or motsu;mono
球;ball;kyū;tama
由;reason;yū or yu　;yoshi
申;say;shin;mō-su
界;world;kai
畑;farm;	hata or hatake
病;sick;byō;yamai
発;departure;hatsu
登;climb;tō or to;nobo-ru
皮;skin;hi;kawa
皿;dish;bei;sara
相;mutual;sō;ai
県;prefecture;ken;ka-keru
真;true;shin;ma
着;wear;chaku;ki-ru or tsu-ku
短;short;tan;mijika-i
研;sharpen;ken;to-gu
礼;salute;rei
神;deity;shin or jin;kami
祭;festival;sai;matsu-ri
福;luck;fuku
秒;second;byō
究;research;kyū;kiwa-meru
章;chapter;shō
童;juvenile;dō;warabe
笛;whistle;teki;fue
第;ordinal;dai
筆;writing brush;hitsu;fude
等;class;tō;hito-shii
箱;box;sō;hako
級;rank;kyū
終;end;shū;o-waru
緑;green;ryoku;midori
練;practice;ren;ne-ru
羊;sheep;yō;hitsuji
美;beauty;bi;utsuku-shii
習;learn;shū;nara-u
者;someone;sha;mono
育;nurture;iku;soda-tsu
苦;suffer;ku;kuru-shii or niga-i
荷;luggage;ka;ni
落;fall;raku;o-chiru
葉;leaf;yō;ha
薬;medicine;yaku;kusuri
血;blood;ketsu;chi
表;express;hyō;omote or arawa-su
詩;poem;shi;uta
調;tone;chō;shira-beru
談;discuss;dan
豆;beans;tō or zu;mame
負;lose;fu;ma-keru or o-u
起;awaken;ki;o-kiru
路;path;ro;ji
身;body;shin;mi
転;revolve;ten;koro-bu
軽;lightly;kei;karu-i
農;agriculture;nō
返;repay;hen;kae-su
追;follow;tsui;o-u
送;send;sō;oku-ru
速;fast;soku;haya-i
進;progress;shin;susu-mu
遊;play;yū;aso-bu
運;carry;un;hako-bu
部;part;bu
都;metropolis;to or tsu;miyako
配;distribute;hai;kuba-ru
酒;liquor;shu;sake or saka
重;heavy, gravity; pile;jū or chō;omo-i or kasa-neru
鉄;iron;tetsu
銀;silver;gin;shirogane
開;open;kai;hira-ku or a-ku
院;institution;in
陽;sunshine;yō;hi
階;storey;kai;kizahashi
集;gather;shū;atsu-maru
面;surface;men　;omote or tsura
題;topic;dai
飲;drink;in;no-mu
館;public building;kan;tate
駅;station;eki
鼻;nose;bi;hana
不;not;fu or bu
争;conflict;sō;araso-u
付;attach;fu;tsu-ku
令;orders;rei
以;since;i
仲;go-between;chū;naka
伝;transmit;den;tsuta-eru
位;rank;i;kurai
低;low;tei;hiku-i
例;example;rei;tato-eru
便;convenience; letter;ben or bin;tayo-ri
信;trust;shin
倉;storage;sō;kura
候;climate;kō
借;borrow;shaku;ka-riru
停;halt;tei
健;healthy;ken
側;side;soku;kawa
働;work;dō;hatara-ku
億;hundred million;oku
兆;portent or trillion;chō;kiza-shi
児;offspring;ji or ni
共;together;kyō;tomo
兵;soldier;hei or hyō;tsuwamono
典;code;ten
冷;cool;rei;tsume-tai or hi-eru or sa-meru
初;first;sho;hatsu or haji-me
別;separate;betsu;waka-reru
利;profit;ri
刷;printing;satsu;su-ru
副;vice-;fuku
功;achievement;kō
加;add;ka;kuwa-eru
努;toil;do;tsuto-meru
労;labor;rō;negira-u
勇;courage;yū;isa-mu
包;wrap;hō;tsutsu-mu
